publisher,Number of publications
Lembaga Publikasi Ilmiah dan Penerbitan Universitas Muhammadiyah Purwokerto,88
Archives of Pathology and Laboratory Medicine,87
Korean Society of Infectious Diseases and Korean Society for Chemotherapy,87
National Center for Global Health and Medicine (JST),87
Auckland University of Technology (AUT) Library,87
Science Repository OU,86
Asia Culture Academy of Incorporated Association,86
Universitas Lancang Kuning,86
Galaxy Science,86
LPPM IKIP Mataram,86
Universitas Muhammadiyah Yogyakarta,86
Ordem dos Medicos,85
Board of Governors of the Federal Reserve System,85
"Horizon Research Publishing Co., Ltd.",85
Society for Science and Nature,85
DoNotEdit,85
Firenze University Press,84
Anticancer Research USA Inc.,84
Universitas Pendidikan Indonesia (UPI),84
Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),84
Penerbit Universiti Sains Malaysia,84
American Society of Neuroradiology (ASNR),84
Springer Publishing Company,84
EpiSmart Science Vector Ltd,84
SciRes Literature LLC,84
Adam Mickiewicz University Poznan,84
World Bank,84
World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO),83
International Journal of Scientific and Research Publications (IJSRP),83
Sociedad Espanola de Quimioterapia,83
Rockefeller University Press,83
Rawalpindi Medical University,82
European Open Access Publishing (Europa Publishing),82
Acoustical Society of America (ASA),82
NeuroQuantology Journal,82
Brazilian Journal of Development,82
Zeppelini Editorial e Comunicação,82
Open Source Publications,82
LPPM Unsyiah,81
Taras Shevchenko National University of Kyiv,81
Hong Kong Academy of Medicine Press,81
EJournal Publishing,81
National Documentation Centre (EKT),79
International Information and Engineering Technology Association,79
Pleiades Publishing Ltd,79
Alfmed LLC,78
Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau,78
Universitas Negeri Jakarta,78
Universitas Sam Ratulangi,78
Canadian Science Publishing,78
Society for Research and Knowledge Management,78
Asian Institute of Research,77
International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA),77
Instituto de Investigacion en Ciencias Biomedicas,77
Primakov Institute of World Economy and International Relations,77
Research Desk Inc,77
"Institute of Europe, Russian Academy of Sciences (IERAS)",76
Geotar-Media Publishing Group,76
SPE,75
rScroll,75
Population Council,75
Iris Publishers LLC,75
International Journal of Research Publications,75
STAI Hubbulwathan Duri,75
Philosophy Documentation Center,75
"Universitas Indonesia, Directorate of Research and Public Service",75
The Royal Australian College of General Practitioners,75
inScience Press,74
Humanity Only - HO,74
Federal State-Financed Educational Institution of Higher Education Moscow State University of Psychology and Education,74
Forum for Medical Ethics Society,74
"National Research University, Higher School of Economics (HSE)",74
Universitas Islam Indonesia (Islamic University of Indonesia),73
"Association of Economists and Managers of the Balkans, Belgrade, Serbia",73
Seventh Sense Research Group Journals,73
European Publisher,73
Polskie Towarzystwo Kardiologiczne,73
Universitas Andalas,73
Medical Journals Sweden AB,72
Korean Society of Epidemiology,72
Dynasty Publishing House,72
North American Business Press,72
Saudi Medical Journal,72
The Science and Information Organization,72
Joint-Stock Company Chicot,72
University of Ljubljana,72
University of Health Sciences Lahore,72
Knowledge Enterprise Journals,72
Virtus Interpress,72
Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,72
Juniper Publishers,71
Iktisadi Kalkinma ve Sosyal Arastirmalar Dernegi,71
Hawaii International Conference on System Sciences,71
Shanlax International Journals,70
Universitas Muhammadiyah Palangkaraya,70
Comprehensive Publications,70
Greater Baltimore Medical Center,70
Academic Conferences International Ltd,70
Universitas Ahmad Dahlan,69
The World Academy of Research in Science and Engineering,69
Nomos Verlagsgesellschaft mbH & Co. KG,69
EUSER,69
Global Academy of Training and Research (GATR) Enterprise,69
Adi Health+Wellness,69
Journal of Neurosurgery Publishing Group (JNSPG),68
Queensland University of Technology,68
MRE Press,68
Publishing House Finance and Credit,68
International Journal of Innovative Research & Development (GlobeEdu),68
Ontario COVID-19 Science Advisory Table,68
University of Maribor Press,68
Richtmann Publishing,68
Marwah Infotech,67
De Gruyter,67
American Board of Family Medicine (ABFM),67
EPRA JOURNALS,67
British Association of Physicians of Indian Origin,67
Ecancer Global Foundation,67
Cambridge University Press,67
CAB PUBLISHER,67
SCIK Publishing Corporation,67
IUPUI University Library,67
"SAGE Publications, Ltd.",66
